Permittivity ,Lambda,Theta,R,T,Rs,Ts,,
1,0.0000006,15,0.09881483,0.90118517,0.11879522,0.88120478,,
1,0.0000006,15,0.11739834,0.88260166,0.14054771,0.85945229,,
1,0.00000061,15,0.12108084,0.87891916,0.14480656,0.85519344,,
1,0.00000061,15,0.10993973,0.89006027,0.1317546,0.8682454,,
1,0.00000062,15,0.08676684,0.91323316,0.10444624,0.89555376,,
1,0.00000062,15,0.05703484,0.94296516,0.06901437,0.93098563,,
1,0.00000063,15,0.02805665,0.97194335,0.03405083,0.96594917,,
1,0.00000063,15,0.00767042,0.99232958,0.00922308,0.99077692,,
1,0.00000064,15,0.00135691,0.99864309,0.00156688,0.99843312,,
1,0.00000064,15,0.01015,0.98985,0.0124746,0.9875254,,
1,0.00000065,15,0.03042284,0.96957716,0.03729537,0.96270463,,
1,0.00000065,15,0.05590264,0.94409736,0.06810825,0.93189175,,
1,0.00000066,15,0.08029053,0.91970947,0.0972331,0.9027669,,
1,0.00000066,15,0.09880162,0.90119838,0.11909851,0.88090149,,
1,0.00000067,15,0.10865318,0.89134682,0.13063215,0.86936785,,
1,0.00000067,15,0.10884709,0.89115291,0.13080795,0.86919205,,
1,0.00000068,15,0.09978796,0.90021204,0.12011247,0.87988753,,
1,0.00000068,15,0.08315804,0.91684196,0.10041313,0.89958687,,
1,0.00000069,15,0.061635,0.938365,0.07472324,0.92527676,,
1,0.00000069,15,0.0388611,0.9611389,0.04728795,0.95271205,,
1,0.0000007,15,0.01879994,0.98120006,0.02291125,0.97708875,,
1,0.0000007,15,0.00513361,0.99486639,0.00621504,0.99378496,,
1,0.00000071,15,0.00022398,0.99977602,0.00025401,0.99974599,,
1,0.00000071,15,0.00457071,0.99542929,0.00570266,0.99429734,,
1,0.00000072,15,0.01675349,0.98324651,0.02073969,0.97926031,,
1,0.00000072,15,0.03400115,0.96599885,0.04182971,0.95817029,,
1,0.00000073,15,0.0530953,0.9469047,0.06495233,0.93504767,,
1,0.00000073,15,0.07103252,0.92896748,0.08646964,0.91353036,,
1,0.00000074,15,0.08552083,0.91447917,0.10370568,0.89629432,,
1,0.00000074,15,0.09503835,0.90496165,0.11495148,0.88504852,,
1,0.00000075,15,0.09883021,0.90116979,0.11939865,0.88060135,,
1,0.00000075,15,0.09678121,0.90321879,0.11694925,0.88305075,,
1,0.00000045,20,0.01586139,0.98413861,0.02269702,0.97730298,,
1,0.00000046,20,0.06104218,0.93895782,0.08649421,0.91350579,,
1,0.00000046,20,0.09600766,0.90399234,0.13434087,0.86565913,,
1,0.00000047,20,0.09679869,0.90320131,0.13564161,0.86435839,,
1,0.00000047,20,0.06460136,0.93539864,0.09200035,0.90799965,,
1,0.00000048,20,0.02171296,0.97828704,0.03158317,0.96841683,,
1,0.00000048,20,0.00124452,0.99875548,0.00158722,0.99841278,,
1,0.00000049,20,0.02016069,0.97983931,0.02859157,0.97140843,,
1,0.00000049,20,0.06277626,0.93722374,0.08843184,0.91156816,,
1,0.0000005,20,0.09996708,0.90003292,0.13899029,0.86100971,,
1,0.0000005,20,0.11258991,0.88741009,0.15588471,0.84411529,,
1,0.00000051,20,0.09640881,0.90359119,0.13448972,0.86551028,,
1,0.00000051,20,0.05976055,0.94023945,0.08466411,0.91533589,,
1,0.00000052,20,0.02115534,0.97884466,0.03027737,0.96972263,,
1,0.00000052,20,0.00264678,0.99735322,0.00340664,0.99659336,,
1,0.00000053,20,0.01499045,0.98500955,0.02114375,0.97885625,,
1,0.00000053,20,0.04953371,0.95046629,0.07004334,0.92995666,,
